Geocode,Weight,Area
1,0.8574547387,0.2722748603
2,10.0036386179,0.3890154238
3,0.8574547387,0.2760310972
4,1.4290912311,0.0770043706
5,2.572364216,0.0393096643
6,4.8589101858,0.0458151799
7,11.1469116028,0.0824629737
8,3.4298189547,0.0761629178
9,11.432729849,0.1292183286
10,16.2916400349,0.1426939387
12,20.293095482,0.2309788326
13,1.4290912311,0.1624242913
14,17.720731266,0.105658234
15,8.5745473868,0.1285449537
16,14.2909123113,0.2043880217
17,35.7272807783,0.0815861921
19,28.5818246226,0.0449409268
20,22.8654596981,0.0306728157
21,25.1520056679,0.0602429761
22,19.7214589896,0.0302497412
23,41.1578274566,0.0848894808
24,42.0152821952,0.0827321183
25,29.7250976075,0.1683724611
26,31.1541888386,0.0904069507
27,5.7163649245,0.0491357218
28,14.2909123113,0.063622946
29,13.7192758189,0.0687979958
30,32.0116435773,0.0822935862
32,11.1469116028,0.0673395168
33,15.4341852962,0.074885755
34,5.4305466783,0.1345103134
35,9.7178203717,0.1263223079
37,10.269540037,0.4859835783
38,6.2758300226,0.2872148391
40,2.8526500103,0.0668587256
41,3.1379150113,0.0592136417
42,21.6801400782,0.077693665
43,17.9716950648,0.0548106808
44,14.5485150525,0.065453603
45,4.8495050175,0.0528637719
46,2.2821200082,0.0279363972
47,3.1379150113,0.0686396077
50,2.5673850093,0.4393009025
51,0.8557950031,0.0440218804
52,2.5673850093,0.0260556025
53,6.2758300226,0.0558638573
54,7.1316250257,0.0797481435
55,6.2758300226,0.062560023
56,5.1347700185,0.0481004189
57,4.8495050175,0.0557190997
58,10.5548050381,0.0738202461
59,3.4231800123,0.1318315334
60,2.5673850093,0.0820260191
61,0.5673650775,0.1370880921
62,4.8226031584,0.0691269666
63,3.120507926,0.0597756515
65,1.1347301549,0.042394767
66,1.9857777711,0.0954591345
67,1.9857777711,0.0504761757
68,0.8510476162,0.0275613924
69,0.5673650775,0.0665836435
70,1.9857777711,0.0769325373
71,0.2836825387,0.0281597779
72,0.8510476162,0.0321325077
76,0.2836825387,0.0350663945
77,0.2836825387,0.0524849122
80,1.4184126936,0.0188102165
81,1.9857777711,0.0274110301
83,3.6878730035,0.0252547732
84,2.5531428486,0.0271081809
85,1.4184126936,0.0187119767
86,1.7020952324,0.0251194012
87,2.5531428486,0.0229543321
88,1.4184126936,0.0209895983
89,4.5389206197,0.034249703
90,0.8510476162,0.0509078297
91,1.4184126936,0.0579606747
96,3.120507926,0.0510135082
97,0.2836825387,0.0225686365
98,0.2836825387,0.0244082986
101,0.2836825387,0.0307076069
106,0.2836825387,0.0323301096
111,1.7020952324,0.049139055
112,1.4184126936,0.0336649163
113,0.2836825387,0.0459231267
115,1.1347301549,0.0368819816
116,11.0636190105,0.0449364178
117,2.8368253873,0.0356595658
118,0.5673650775,0.0333362303
121,0.8510476162,0.0252276814
123,17.5883174012,0.0417783518
124,3.9715555422,0.0666699539
125,0.2836825387,0.0238096724
126,1.9857777711,0.0122216723
127,6.241015852,0.0435509578
128,0.8510476162,0.0500321516
129,0.2836825387,0.0620540675
135,0.8510476162,0.0995722334
137,0.2836825387,0.0572455885
139,1.1347301549,0.0577429741
140,0.8510476162,0.0293560254
141,0.2836825387,0.0340007336
143,0.2836825387,0.1085053001
145,3.6878730035,0.057098402
146,1.9857777711,0.0706719553
147,3.705317939,0.0290829093
149,5.41546468,0.0786752631
150,4.5603913095,0.057084677
151,3.4202934821,0.0760439897
152,0.5700489137,0.0315191543
153,1.7101467411,0.0462319405
154,4.2753668527,0.0265824231
155,3.4202934821,0.038756698
156,5.1304402232,0.0427842686
157,6.5555625074,0.0546793175
158,13.1111250148,0.0269443166
159,3.705317939,0.0346159496
160,2.8502445684,0.0411336296
161,6.5555625074,0.0619687092
162,7.4106358779,0.1208773695
163,1.7101467411,0.0299997273
164,6.2705380506,0.0316011052
165,3.9903423958,0.0808242842
166,5.7004891369,0.0326072803
167,5.7004891369,0.0882932012
168,1.9951711979,0.0583079867
170,7.1256114211,0.0497503629
171,0.2850244568,0.036890033
173,0.8510476162,0.2535420014
174,0.2856661667,0.5445847593
178,0.8529972627,0.0872481605
180,2.2746593672,0.0798312139
181,8.2456402061,0.1239732817
182,9.9516347316,0.1145332999
183,9.0986374689,0.0490407556
184,3.4284640832,0.0613129421
185,1.9999373819,0.0995957893
186,2.2856427222,0.2871579506
187,4.8569907846,0.0638019824
188,3.4284640832,0.0605460221
189,0.8571160208,0.0635936044
190,22.5676271697,0.1264279749
191,0.8569985001,0.0691124734
192,12.569311335,0.0436682578
193,0.8569985001,0.0400041576
194,1.4283308335,0.025493061
196,9.1413173346,0.0585625495
197,14.2833083353,0.0343655183
198,5.7133233341,0.0247393284
199,0.2856661667,0.0373328694
200,0.5713323334,0.0546136067
201,0.8569985001,0.036319186
202,0.5713323334,0.0634561249
204,0.2856661667,0.1583578568
206,0.5713323334,0.3167450669
207,0.2856661667,0.715166774
211,0.5713323334,0.0438752061
212,3.7136601672,0.0420859474
213,1.1426646668,0.0422621838
214,4.5706586673,0.1139154577
215,0.8569985001,0.0451084326
216,3.7136601672,0.0863715323
217,7.4273203343,0.030946884
218,10.8553143348,0.0345364891
219,10.8553143348,0.0788797607
220,3.7136601672,0.0899291399
221,1.7139970002,0.0644108836
222,1.9996631669,0.1119083052
223,2.5709955003,0.0706517915
224,2.8566616671,0.1086021874
225,1.1426646668,0.0466176484
226,1.7139970002,0.07679155
227,1.9996631669,0.0461501629
228,1.7139970002,0.0771322708
229,4.5706586673,0.0481488684
230,1.1426646668,0.0723597322
231,2.8566616671,0.1045180522
232,1.9996631669,0.1058956313
233,1.7139970002,0.0762562706
234,3.1423278338,0.1472323566
235,4.285580104,0.0720025399
236,7.1426335067,0.0641844501
237,10.5710975899,0.0436796953
238,3.7141694235,0.0334467114
239,4.5712854443,0.0232137275
240,5.7141068054,0.0448658243
241,3.142758743,0.0290765909
242,4.5712854443,0.0203852697
243,2.2856427222,0.0311826264
244,7.1426335067,0.0504738384
245,9.4282762289,0.090529098
246,7.1426335067,0.0369367042
247,9.4282762289,0.0472070615
248,5.1426961248,0.0293775098
249,5.4284014651,0.0751424054
250,2.8570534027,0.1259672234
251,1.4285267013,0.0538712517
252,1.4285267013,0.212148647
253,2.8553744634,0.1723689864
254,6.2855174859,0.1879137422
255,5.9998121456,0.0496679035
256,8.8568655483,0.0385317606
257,7.7140441873,0.1106634604
258,8.8568655483,0.0887012314
259,7.6769753643,0.043615763
260,9.0986374689,0.078229678
261,7.6769753643,0.0502819706
262,7.1083105225,0.0470370764
263,5.4023159971,0.0438622484
264,7.9613077852,0.0392779793
265,11.9419616779,0.0878971409
266,2.843324209,0.0649060357
267,11.0889644152,0.0532301602
268,4.8336511553,0.0484385461
269,0.5686648418,0.0250502498
270,1.7101467411,0.0709879382
271,12.826100558,0.038017904
272,0.2850244568,0.0426745075
273,9.6908315327,0.0389754732
274,22.5169320906,0.0824339693
275,2.5652201116,0.0350027526
276,14.500953466,0.0444487827
279,1.9903269463,0.0189477083
280,0.8529972627,0.0369148808
281,10.8046319943,0.0729080726
282,1.1373296836,0.0582869666
283,0.8510476162,0.0792283062
284,5.1304402232,0.1003642962
285,16.8164429538,0.0619595146
286,1.7101467411,0.0531753046
287,1.9903269463,0.0574392264
288,5.1179835762,0.0779366425
289,8.2456402061,0.0993561588
290,0.2843324209,0.0822797103
291,6.8239781016,0.1015652643
292,1.4216621045,0.0855938621
293,2.5589917881,0.0641049922
294,4.2649863135,0.0438950695
295,2.843324209,0.0347428842
296,5.9709808389,0.0712949435
297,7.3926429434,0.0563873709
298,7.1083105225,0.0514896472
299,1.1373296836,0.0180740977
300,4.8336511553,0.120608004
301,2.843324209,0.1123825725
302,0.8529972627,0.0783811587
303,11.9419616779,0.1279792383
304,17.344277675,0.1292274942
305,6.8239781016,0.1173835202
306,4.5493187344,0.0713372178
307,13.3636237824,0.0857481238
308,7.6769753643,0.0684366664
309,5.4023159971,0.0758879856
310,0.8529972627,0.0500383
311,13.3636237824,0.1210929258
312,9.3829698898,0.0674414148
313,5.4023159971,0.0562312346
314,3.4119890508,0.0452239161
315,5.1179835762,0.0817638157
316,15.6382831496,0.1117314433
317,10.8046319943,0.050779954
318,13.0792913615,0.0722705378
319,6.8239781016,0.0543437272
320,10.8046319943,0.0718176538
321,5.9709808389,0.0570539928
322,1.1373296836,0.0329251094
323,1.4216621045,0.0337453196
324,5.9709808389,0.0412252463
325,8.2456402061,0.0626230965
326,15.9226155705,0.0540005062
327,11.3732968361,0.0953012966
328,10.2359671525,0.0687305708
329,10.2359671525,0.0504709845
330,19.6189370422,0.0776229465
331,7.428338847,0.0467667646
332,17.7137310967,0.084388199
333,5.9962863731,0.0584173734
334,16.8566150759,0.0881020235
335,7.1384361585,0.0634548335
336,10.5648855145,0.0837234301
337,11.9925727462,0.1177810297
338,8.5711602081,0.0328336027
339,2.2856427222,0.0510706151
340,9.4227357292,0.0707286139
341,6.5673612658,0.0462333992
342,10.2793480682,0.0413227419
343,2.569837017,0.0211026769
344,6.8528987121,0.038866051
345,21.129771029,0.0903709072
346,4.8541365877,0.0669953726
347,18.8454714583,0.0615415041
348,1.713224678,0.0286231625
349,0.856612339,0.0259764269
350,8.8516608365,0.0680222738
351,9.9938106218,0.0778546492
352,9.7082731755,0.0643666669
353,2.2842995707,0.0998491635
354,4.2830616951,0.1105211903
355,14.2768723169,0.1056585401
356,5.1396740341,0.054277417
357,14.8479472096,0.0538978891
358,6.5673612658,0.0658096538
359,6.8528987121,0.0914841457
360,3.7119868024,0.0718557245
361,8.8516608365,0.113027358
362,5.9962863731,0.0902169966
363,9.1371982828,0.0662731165
364,10.8504229608,0.0440401497
365,7.7095110511,0.0635273988
366,17.4177842266,0.0769583799
367,13.1347225316,0.1334437838
368,6.5673612658,0.0585695945
369,2.8553744634,0.0839390705
370,0.2855374463,0.1178490379
372,1.1421497854,0.1916858411
373,3.4264493561,0.0465480873
374,3.7119868024,0.0789315478
375,0.2855374463,0.0894400188
376,1.9987621244,0.0687133912
377,7.7095110511,0.0812905105
378,8.2805859438,0.1486440991
379,7.7095110511,0.1131431538
380,4.8541365877,0.0762031666
381,1.1421497854,0.0512616011
382,2.8553744634,0.0601723877
383,3.4264493561,0.0600485256
384,2.2842995707,0.0580020526
385,0.2855374463,0.1518115422
387,3.7119868024,0.3978524351
388,3.1409119097,0.2869302275
389,3.1409119097,0.0901630361
390,2.569837017,0.0414884065
391,2.8553744634,0.0594061683
392,7.7095110511,0.1088381235
393,14.8479472096,0.1115497563
394,3.4264493561,0.0709056739
395,2.569837017,0.0818033759
396,8.8516608365,0.0541963922
397,8.2805859438,0.0529091573
398,1.713224678,0.0370351546
399,1.713224678,0.0411355616
400,2.569837017,0.0347173879
401,1.1421497854,0.0574772143
402,8.2805859438,0.1030437228
403,9.4227357292,0.1280329103
404,3.7119868024,0.0713935794
405,1.713224678,0.052802402
406,2.2802671632,0.0765199075
407,1.4276872317,0.0331886461
408,3.1353673495,0.0429800194
409,5.1306011173,0.0648762902
410,2.2802671632,0.0897625916
411,6.8408014897,0.0812596996
412,9.4061020484,0.0824714204
413,2.8503339541,0.0573770978
414,5.7107489268,0.0924208065
415,1.713224678,0.0469611751
416,5.4252114804,0.0717265313
417,11.7070352999,0.0938856934
418,11.6863692116,0.1113374203
419,4.2755009311,0.0757259036
420,3.1353673495,0.0952616445
421,12.2564360024,0.1498427311
422,7.4108682805,0.1404535615
423,4.2755009311,0.0824174198
424,3.1353673495,0.0836850871
425,1.9952337678,0.0521818188
426,5.9857013035,0.1035798315
427,12.5414693978,0.168524635
428,12.8265027932,0.0801636172
429,5.4156345127,0.0523050452
430,2.8503339541,0.0456555377
431,3.1353673495,0.0479280877
432,3.7054341403,0.0577510356
433,1.7102003724,0.0406759174
434,9.9761688392,0.1273077746
435,8.8516608365,0.1555812869
436,7.7095110511,0.0579032388
437,5.9962863731,0.0716767767
438,7.1384361585,0.0417798425
439,9.6911354438,0.1110235591
441,14.2166210451,0.0852469027
442,3.9806538926,0.0394561835
443,5.1179835762,0.0318858091
444,11.3732968361,0.0781869366
445,3.6963214717,0.0542801607
446,5.7107489268,0.0682496418
447,5.7107489268,0.0286037275
448,7.4239736048,0.0413466366
449,1.4276872317,0.0289910836
450,8.8516608365,0.0594092113
451,3.1409119097,0.0399707931
452,4.2830616951,0.0306016709
453,8.2805859438,0.0564421167
454,5.4252114804,0.036773378
455,12.8491850852,0.0422859443
456,6.5396456807,0.0527754407
457,10.2359671525,0.0679493486
458,5.9709808389,0.0499038188
459,4.8336511553,0.0501904957
460,7.1083105225,0.0334742785
461,13.9913348706,0.0886967369
462,7.7095110511,0.0857582082
463,10.2612022346,0.0537511275
464,6.5557680943,0.0580120086
465,11.1163024208,0.0559034983
466,6.8408014897,0.0718500026
467,3.7054341403,0.0500606431
468,7.9809350713,0.1044351116
469,7.4108682805,0.0746048515
470,5.4156345127,0.1420513887
471,0.5700667908,0.0472934312
472,2.5653005586,0.142032289
473,2.5653005586,0.0824143073
474,4.2755009311,0.1147663766
475,3.1353673495,0.0513222045
476,2.5653005586,0.0831906309
477,0.5700667908,0.2149991816
478,11.7202892147,0.1585997063
479,1.425166977,0.0473745511
480,13.396569584,0.0723629397
481,5.7006679081,0.106454632
482,4.2755009311,0.0598818086
483,4.2879106883,0.0568942628
484,4.8596321134,0.1051781472
485,8.8616820892,0.0560611538
486,4.8596321134,0.0727647856
487,2.0010249879,0.0755199031
488,4.0020499758,0.0588669454
489,4.2879106883,0.0855466519
491,0.8575821377,0.1080490896
492,5.4313535385,0.1381312927
493,19.4385284537,0.2880077374
494,6.0030749636,0.1087044104
495,5.7172142511,0.160903718
496,6.8606571013,0.1258741519
497,2.0010249879,0.073020874
498,10.2909856519,0.1924111902
499,7.1262723006,0.0831056438
500,2.8505089202,0.0671210187
501,15.9628499533,0.1249760528
502,7.1262723006,0.0919734463
503,3.7056615963,0.201234684
504,4.2757633804,0.0924593939
505,2.2804071362,0.041874508
506,6.5561705165,0.1681243083
507,2.8505089202,0.0602354998
508,5.9860687325,0.0792683005
509,6.8412214086,0.1347006197
510,2.8505089202,0.1298372616
511,1.7151642753,0.0735252212
512,6.5747963887,0.1881989022
513,2.2868857004,0.1096847712
514,1.7151642753,0.1088674459
515,4.2879106883,0.1132960559
516,8.0040999515,0.1838316379
517,13.7213142026,0.1689625929
518,4.0020499758,0.0940907768
519,8.2899606641,0.2204262444
520,1.1434428502,0.0590570478
521,4.5737714009,0.1207063676
522,3.7161892632,0.1535892716
524,7.4323785264,0.1162072355
525,4.2879106883,0.2637835296
526,3.1444678381,0.2867316135
527,4.0020499758,0.2145483926
529,4.5737714009,0.2578758704
530,0.5717214251,0.0811677651
531,4.2879106883,0.0578305511
532,2.8586071255,0.0977226025
533,1.4293035628,0.1708009142
534,1.7151642753,0.2381805784
535,1.1434428502,0.1249723927
536,2.2868857004,0.1044056527
537,2.8586071255,0.2102128526
538,1.4293035628,0.1165080388
539,4.2879106883,0.348241788
540,4.8596321134,0.200260981
541,3.7161892632,0.052280174
542,5.7172142511,0.1184376037
543,3.7161892632,0.0585410221
544,7.6963740846,0.1309579269
546,4.2879106883,0.1566685377
547,6.2889356762,0.1184636366
548,5.145492826,0.0956862559
549,0.858436208,0.1146744644
550,18.8133588736,0.3016773515
551,4.8458651644,0.0760053723
552,12.257188357,0.1704726448
553,6.2889356762,0.1423088074
554,1.1434428502,0.0966529662
555,6.5561705165,0.1378661327
556,5.9860687325,0.1376804889
557,3.4206107043,0.1050252609
558,4.5608142724,0.0763350072
559,7.4113231926,0.0924791271
560,3.4206107043,0.0678924534
561,14.2525446012,0.1683865828
562,7.9814249767,0.1165847095
563,25.9396311742,0.1875988618
564,20.2386133337,0.1456380203
565,0.8551526761,1.2863717675
566,4.2649863135,1.2364661814
567,3.4119890508,0.2797745531
568,0.5686648418,0.2367195124
569,3.1400315874,0.1703883349
570,16.5565301882,0.1513182851
571,11.0889644152,0.1117360253
572,11.657629257,0.05234118
573,2.2836593363,0.082699556
574,3.1276566299,0.0804322138
575,1.7059945254,0.0243204847
576,1.7059945254,0.0530143404
577,8.529972627,0.0948509743
578,7.1364354259,0.092939125
579,8.2782650941,0.0647074836
580,10.5619244304,0.0300544432
581,3.9964038385,0.0276859158
582,8.8491799282,0.0639444959
583,4.8527760896,0.0394759668
584,6.5655205919,0.0691706
585,2.2836593363,0.1424740819
586,1.9982019193,0.1020603012
587,1.7127445022,0.0627745275
589,9.7055521793,0.0232515697
591,0.8510476162,0.0391619279
593,2.8368253873,0.0439065025
594,0.8510476162,0.0241044971
597,1.7101467411,0.0174865464
600,0.8510476162,0.053320249
601,1.7127445022,0.03366792
602,1.1347301549,0.0499845187
603,1.9982019193,0.0622706634
604,0.5709148341,0.0348664968
605,2.5691167533,0.0576016687
606,4.2818612556,0.0835327006
607,4.8527760896,0.1045429618
608,0.5709148341,0.1646152716
609,0.285457417,0.0427929637
610,2.8545741704,0.1095866817
611,19.6965617756,0.089977893
613,0.2836825387,0.1499653323
616,1.7020952324,0.0499314424
617,0.8510476162,0.1709396491
618,1.9857777711,0.1535470474
619,5.3899682359,0.0622799212
620,1.7020952324,0.0527758027
621,1.1347301549,0.0678438826
622,0.5673650775,0.1199592755
623,0.2836825387,0.0522756582
624,0.5673650775,0.1084900255
625,2.2694603098,0.0247751366
626,1.9857777711,0.0576260757
627,2.2694603098,0.0716207178
630,0.5673650775,0.0640043186
633,0.285457417,0.2162414417
634,2.2836593363,0.0636315619
635,0.8563722511,0.0572396721
636,3.4254890045,0.0405146272
637,5.9946057578,0.0635708538
638,1.7127445022,0.0314465844
639,5.7091483408,0.1759239179
640,7.70735026,0.1315614366
641,1.1418296682,0.0574909897
642,1.4272870852,0.0606443049
643,1.1418296682,0.0602471861
644,10.2764670134,0.1500889614
645,2.8545741704,0.068975835
646,2.8545741704,0.0818068582
647,1.1418296682,0.0541316768
648,2.5691167533,0.0881145886
649,1.9982019193,0.0697486803
650,8.2782650941,0.0673490535
651,2.2836593363,0.070492452
652,4.2818612556,0.5943357386
653,1.9982019193,0.3303483194
654,0.5709148341,0.1233744686
655,0.8563722511,0.2008848415
656,2.2836593363,0.4285301648
657,2.2836593363,0.1545044567
658,0.5722908053,0.4287035031
659,2.2891632212,0.0978032609
660,2.5753086239,0.0914477829
661,1.7103053521,0.0301085837
662,2.2804071362,0.0533410567
663,2.8505089202,0.053601074
664,13.9674937092,0.0315839354
667,1.1402035681,0.0608482448
668,1.4252544601,0.0326909482
669,0.858436208,0.0560058658
670,1.4252544601,0.1301391374
671,0.285050892,0.2224063191
672,3.1355598123,0.0629057981
673,7.4113231926,0.0824580573
674,2.8505089202,0.057690093
675,5.9860687325,0.0868745517
676,5.7010178405,0.0913956103
677,7.1536350663,0.1753729309
678,2.5753086239,0.0638303873
679,7.6963740846,0.1145106583
680,4.8458651644,0.0733195195
681,5.9860687325,0.1100221945
682,7.4113231926,0.0764452493
683,5.1309160564,0.0518835307
684,4.2757633804,0.0579076791
685,6.8412214086,0.1021834616
686,7.1262723006,0.1103151931
687,9.4066794368,0.1184469247
688,2.2891632212,0.1194791211
689,1.7168724159,0.0487446267
690,2.0030178186,0.0937161559
691,5.722908053,0.1370446328
692,4.2921810398,0.0538638041
693,3.7198902345,0.0945038049
694,4.0060356371,0.0974038938
695,4.0060356371,0.109614862
696,6.2951988583,0.0635074206
697,2.2891632212,0.0763249085
698,2.0030178186,0.0999359326
700,4.0060356371,0.0783503192
701,4.0060356371,0.0795414145
702,6.2951988583,0.1570355089
703,2.2891632212,0.0959509261
704,5.722908053,0.1290540341
705,5.722908053,0.0838178439
706,3.1475994292,0.0904774664
707,3.7198902345,0.0607075934
708,2.5753086239,0.1451936793
709,4.5783264424,0.180151714
710,0.5722908053,0.4034102292
711,2.5753086239,0.0595649419
712,1.4307270133,0.1355360111
713,4.2921810398,0.2052029545
714,5.1506172477,0.1667604923
715,3.4337448318,0.1531488074
716,6.2951988583,0.1170095463
717,0.858436208,0.0646488028
718,4.5783264424,0.0636897863
719,3.7198902345,0.059877621
720,1.4307270133,0.0802941111
721,0.858436208,0.0458004095
722,3.7198902345,0.10662426
723,2.8614540265,0.2137209038
724,2.2891632212,0.1057132542
725,1.7168724159,0.1292631869
726,1.1445816106,0.0672108347
727,2.2891632212,0.0752487789
728,0.2861454027,0.2651469649
730,2.2891632212,0.1447533778
731,5.1506172477,0.0895548115
732,6.581344261,0.1092871252
733,3.4337448318,0.0766423456
734,2.8614540265,0.1005636034
735,2.0030178186,0.0875707432
736,1.7168724159,0.074577883
737,2.2891632212,0.0994065933
738,3.4337448318,0.0658780822
739,1.1445816106,0.0537294721
740,2.2891632212,0.0463672853
741,0.858436208,0.0556368249
742,3.1475994292,0.0384861899
743,2.5753086239,0.0435926661
744,0.2861454027,0.0474945785
746,4.5783264424,0.1920808964
747,1.1445816106,0.0812064381
748,1.1445816106,0.5693004784
749,0.2852269491,0.5201897458
750,0.5704538981,0.2540488079
751,2.8522694906,0.1708064131
752,3.1374964396,0.1671440488
753,0.5704538981,0.0645507219
754,2.5670425415,0.0688110227
755,1.1409077962,0.0975499556
756,1.4261347453,0.0738618526
757,2.2818155925,0.1452397593
758,1.9965886434,0.0405964523
759,4.5636311849,0.1229416068
760,2.2818155925,0.0607719413
761,2.8522694906,0.0927670164
762,0.5704538981,0.0745071246
763,1.1409077962,0.0674348362
764,1.1409077962,0.0517134174
765,1.9965886434,0.0719624709
766,2.5670425415,0.1044621162
767,2.2818155925,0.2650288244
768,17.1136169434,0.1332782822
769,2.8522694906,0.0955733447
770,2.2818155925,0.0512171342
771,1.7113616943,0.0943967186
772,1.7113616943,0.0979645537
773,3.4227233887,0.1173235814
774,0.8556808472,0.0695808431
775,1.7113616943,0.0676747399
776,3.4227233887,0.1388952208
777,1.7113616943,0.0784915406
778,1.7113616943,0.0641336003
779,3.7079503377,0.1111947981
780,2.8522694906,0.0442709641
781,3.7079503377,0.0319226798
782,1.4261347453,0.0853933462
783,0.8556808472,0.0931632085
784,9.982943217,0.1254245932
785,3.9931772868,0.0701734512
786,0.5704538981,0.0930419744
787,1.4261347453,0.0529691636
788,1.9965886434,0.0552631924
789,0.8556808472,0.0466377072
790,0.5704538981,0.0407039232
791,2.5670425415,0.0633550882
792,4.5636311849,0.0971173562
793,1.9965886434,0.1133461797
794,8.8420354208,0.127087669
795,3.1374964396,0.1420908313
796,1.9965886434,0.1244361601
797,0.2852269491,0.1400414648
798,1.4261347453,0.0840691893
799,1.4261347453,0.0604482411
800,0.5704538981,0.0530186682
801,4.2784042359,0.0419659046
802,0.8556808472,0.0398017659
803,10.5533971151,0.091512676
804,0.2852269491,0.1973380683
805,7.7011276245,0.0953440323
806,2.2818155925,0.1482875062
807,3.1374964396,0.1178437611
808,3.7079503377,0.1089404908
809,3.7079503377,0.1002905071
810,1.4261347453,0.0510503844
811,5.7045389811,0.1065951398
812,1.7113616943,0.455529029
813,4.2784042359,0.2497769818
814,3.9931772868,0.3660869284
815,4.5636311849,0.058302843
816,10.5533971151,0.1026936558
817,5.4252114804,0.0448521087
818,0.570101784,0.5476428472
819,0.2855374463,0.1278832199
821,4.5783264424,0.1229685326
822,15.1657063405,0.1668678536
823,10.5710975899,0.0869620805
824,28.8676428688,0.0622364886
825,0.8575821377,0.9563747176
826,57.2290805304,0.2749473092
827,2.572746413,0.0060300599
828,8.8365776527,0.1083758672
829,2.5653005586,0.1229157945
830,0.856612339,0.1508373271
831,7.4108682805,0.0542573251
832,7.9809350713,0.0436545621
833,6.8408014897,0.0677559845
834,11.4013358162,0.0718707582
835,5.686648418,0.0471945926
836,1.713224678,0.0576623913
837,8.2805859438,0.0465922101
838,19.3346046213,0.0461544689
839,7.1083105225,0.1081058119
840,9.9516347316,0.0703186773
841,3.7119868024,0.0468907618
842,8.8568655483,0.0913081824
843,1.7142320416,0.8566528231
844,5.1382335067,0.022538506
845,12.8455837667,0.028567946
846,3.1276566299,0.0277165952
847,1.9903269463,0.0213816746
848,6.8509780089,0.0457087858
849,3.7109464215,0.0276630939
850,4.5673186726,0.0400464118
851,14.8212717559,0.0414545742
852,8.8357581622,0.0496114347
853,0.8569985001,0.0194044207
854,2.5670425415,0.122634196
855,15.7200035424,0.1022307807
856,12.8618210802,0.0556717576
857,7.1454561557,0.1110291931
858,6.2553132598,0.0463366992
859,14.8217365611,0.0827115014
860,5.9857013035,0.0374665046
861,12.2564360024,0.0577886866
862,3.7054341403,0.0315433356
863,8.2782650941,0.0638414492
864,3.4337448318,0.1082787075
865,10.5202995734,0.0338372388
866,6.2553132598,0.0239030922
867,4.8455677219,0.0352648714
